Date,TotalSamples
2021-01-01,182631.0
2021-01-02,183725.0
2021-01-03,184955.0
2021-01-04,186140.0
2021-01-05,187115.0
2021-01-06,188351.0
2021-01-07,190031.0
2021-01-08,191206.0
2021-01-09,192560.0
2021-01-10,193719.0
2021-01-11,195351.0
2021-01-12,196859.0
2021-01-13,198478.0
2021-01-14,199805.0
2021-01-15,200953.0
2021-01-16,202521.0
2021-01-17,203741.0
2021-01-18,205411.0
2021-01-19,206732.0
2021-01-20,208179.0
2021-01-21,209437.0
2021-01-22,210762.0
2021-01-23,212393.0
2021-01-24,213467.0
2021-01-25,214915.0
2021-01-26,215858.0
2021-01-27,217007.0
2021-01-28,218629.0
2021-01-29,220484.0
2021-01-30,221876.0
2021-01-31,223137.0
2021-02-01,224852.0
2021-02-02,226584.0
2021-02-03,228290.0
2021-02-04,230133.0
2021-02-05,231633.0
2021-02-06,233597.0
2021-02-07,235072.0
2021-02-08,236643.0
2021-02-09,238339.0
2021-02-10,240362.0
2021-02-11,241833.0
2021-02-12,243631.0
2021-02-13,245745.0
2021-02-14,247289.0
2021-02-15,248562.0
2021-02-16,250037.0
2021-02-17,251774.0
2021-02-18,253718.0
2021-02-19,255675.0
2021-02-20,257213.0
2021-02-21,258773.0
2021-02-22,260324.0
2021-02-23,261719.0
2021-02-24,263090.0
2021-02-25,264369.0
2021-02-26,265852.0
2021-02-27,267209.0
2021-02-28,268499.0
2021-03-01,269799.0
2021-03-02,271193.0
2021-03-03,273010.0
2021-03-04,274849.0
2021-03-05,276471.0
2021-03-06,278437.0
2021-03-07,280041.0
2021-03-08,281955.0
2021-03-09,283492.0
2021-03-10,285087.0
2021-03-11,286505.0
2021-03-12,288197.0
2021-03-13,290341.0
2021-03-14,291842.0
2021-03-15,294094.0
2021-03-16,295827.0
2021-03-17,297433.0
2021-03-18,299048.0
2021-03-19,300892.0
2021-03-20,302566.0
2021-03-21,304391.0
2021-03-22,305778.0
2021-03-23,307255.0
2021-03-24,308812.0
2021-03-25,310615.0
2021-03-26,312378.0
2021-03-27,314309.0
2021-03-28,315818.0
2021-03-29,317137.0
2021-03-30,318382.0
2021-03-31,319864.0
2021-04-01,321456.0
2021-04-02,323001.0
2021-04-03,324207.0
2021-04-04,325826.0
2021-04-05,327270.0
2021-04-06,328737.0
2021-04-07,330481.0
2021-04-08,332119.0
2021-04-09,333671.0
2021-04-10,335784.0
2021-04-11,337833.0
2021-04-12,339482.0
2021-04-13,341557.0
2021-04-14,343431.0
2021-04-15,345485.0
2021-04-16,347489.0
2021-04-17,349739.0
2021-04-18,352086.0
2021-04-19,353754.0
2021-04-20,355507.0
2021-04-21,357442.0
2021-04-22,358903.0
2021-04-23,360595.0
2021-04-24,361594.0
2021-04-25,363056.0
2021-04-26,364735.0
2021-04-27,366683.0
2021-04-28,367689.0
2021-04-29,368945.0
2021-04-30,370896.0
2021-05-01,372214.0
2021-05-02,373007.0
2021-05-03,373785.0
2021-05-04,374428.0
2021-05-05,375095.0
2021-05-06,375477.0
2021-05-07,375967.0
2021-05-08,376536.0
2021-05-09,376933.0
2021-05-10,377293.0
2021-05-11,377516.0
2021-05-12,378060.0
2021-05-13,378462.0
2021-05-14,378887.0
2021-05-15,379096.0
2021-05-16,379674.0
2021-05-17,380102.0
2021-05-18,380395.0
2021-05-19,380853.0
2021-05-20,381349.0
2021-05-21,382015.0
2021-05-22,382640.0
2021-05-23,383265.0
2021-05-24,383396.0
2021-05-25,383727.0
2021-05-26,384188.0
2021-05-27,384528.0
2021-05-28,385020.0
2021-05-29,385564.0
2021-05-30,385988.0
2021-05-31,386613.0
2021-06-01,387348.0
2021-06-02,387871.0
2021-06-03,388486.0
2021-06-04,389152.0
2021-06-05,389785.0
2021-06-06,390574.0
2021-06-07,391273.0
2021-06-08,392095.0
2021-06-09,392974.0
2021-06-10,393692.0
2021-06-11,394822.0
2021-06-12,395624.0
2021-06-13,396534.0
2021-06-14,397190.0
2021-06-15,397953.0
2021-06-16,398852.0
2021-06-17,399580.0
2021-06-18,400211.0
2021-06-19,400997.0
2021-06-20,401769.0
2021-06-21,402629.0
2021-06-22,403616.0
2021-06-23,404494.0
2021-06-24,405197.0
2021-06-25,405887.0
2021-06-26,406529.0
2021-06-27,407488.0
2021-06-28,408220.0
2021-06-29,409212.0
2021-06-30,409890.0
2021-07-01,410741.0
2021-07-02,411442.0
2021-07-03,412361.0
2021-07-04,413316.0
2021-07-05,414166.0
2020-04-02,1800.0
2020-04-10,6374.0
2020-04-11,6958.0
2020-04-12,6958.0
2020-04-13,8755.0
2020-04-14,10505.0
2020-04-15,11613.0
2020-04-16,20235.0
2020-04-17,20235.0
2020-04-18,21450.0
2020-04-19,26958.0
2020-04-20,30733.0
2020-04-21,35755.0
2020-04-22,41512.0
2020-04-23,48032.0
2020-04-24,54338.0
2020-04-25,61266.0
2020-04-26,68034.0
2020-04-27,74551.0
2020-04-28,80334.0
2020-04-29,88061.0
2020-04-30,94558.0
2020-05-01,102460.0
2020-05-02,108403.0
2020-05-03,114937.0
2020-05-04,125229.0
2020-05-05,133492.0
2020-05-06,141274.0
2020-05-07,149361.0
2020-05-08,156681.0
2020-05-09,165069.0
2020-05-10,173735.0
2020-05-11,181144.0
2020-05-12,191874.0
2020-05-13,201196.0
2020-05-14,210452.0
2020-05-15,219490.0
2020-05-17,238998.0
2020-05-18,248771.0
2020-05-19,258450.0
2020-05-20,267612.0
2020-05-21,275704.0
2020-05-22,284119.0
2020-05-23,292969.0
2020-05-24,304326.0
2020-05-25,314566.0
2020-05-26,322714.0
2020-05-27,332378.0
2020-05-28,342236.0
2020-05-29,353874.0
2020-05-30,363378.0
2020-05-31,372748.0
2020-06-01,383315.0
2020-06-02,395681.0
2020-06-03,403747.0
2020-06-04,413733.0
2020-06-05,423564.0
2020-06-06,436335.0
2020-06-07,454030.0
2020-06-08,468276.0
2020-06-09,483361.0
2020-06-10,498716.0
2020-06-11,510318.0
2020-06-12,522093.0
2020-06-13,536570.0
2020-06-14,552202.0
2020-06-15,567375.0
2020-06-16,583286.0
2020-06-17,598474.0
2020-06-18,612397.0
2020-06-19,630006.0
2020-06-20,652377.0
2020-06-21,676828.0
2020-06-22,693548.0
2020-06-23,714187.0
2020-06-24,750234.0
2020-06-25,769319.0
2020-06-26,791624.0
2020-06-27,816082.0
2020-06-28,841860.0
2020-06-29,872076.0
2020-06-30,890190.0
2020-07-01,918429.0
2020-07-02,932713.0
2020-07-03,971611.0
2020-07-04,996573.0
2020-07-05,1017140.0
2020-07-06,1033852.0
2020-07-07,1050090.0
2020-07-08,1077733.0
2020-07-09,1094615.0
2020-07-10,1115635.0
2020-07-11,1136225.0
2020-07-12,1153849.0
2020-07-13,1173096.0
2020-07-14,1195766.0
2020-07-15,1217963.0
2020-07-16,1240267.0
2020-07-17,1260512.0
2020-07-18,1284384.0
2020-07-19,1315532.0
2020-07-20,1349112.0
2020-07-21,1386274.0
2020-07-22,1435827.0
2020-07-23,1493879.0
2020-07-24,1541993.0
2020-07-25,1595674.0
2020-07-26,1643319.0
2020-07-27,1686446.0
2020-07-28,1749425.0
2020-07-29,1820009.0
2020-07-30,1890077.0
2020-07-31,1951776.0
2020-08-01,2012573.0
2020-08-02,2065407.0
2020-08-03,2110923.0
2020-08-04,2175070.0
2020-08-05,2235646.0
2020-08-06,2299332.0
2020-08-07,2362270.0
2020-08-08,2424393.0
2020-08-09,2487305.0
2020-08-10,2534304.0
2020-08-11,2592619.0
2020-08-12,2649767.0
2020-08-13,2705459.0
2020-08-14,2758485.0
2020-08-15,2812197.0
2020-08-16,2860943.0
2020-08-17,2905521.0
2020-08-18,2961611.0
2020-08-19,3019296.0
2020-08-20,3074847.0
2020-08-21,3129857.0
2020-08-22,3191326.0
2020-08-23,3238038.0
2020-08-24,3292501.0
2020-08-25,3356852.0
2020-08-26,3418690.0
2020-08-27,3479990.0
2020-08-28,3541321.0
2020-08-29,3603345.0
2020-08-30,3666422.0
2020-08-31,3722912.0
2020-09-01,3782746.0
2020-09-02,3843550.0
2020-09-03,3905775.0
2020-09-04,3965694.0
2020-09-05,4035317.0
2020-09-06,4107890.0
2020-09-07,4166077.0
2020-09-08,4237070.0
2020-09-09,4308762.0
2020-09-10,4380991.0
2020-09-11,4452128.0
2020-09-12,4527593.0
2020-09-13,4599826.0
2020-09-14,4661355.0
2020-09-15,4731866.0
2020-09-16,4806879.0
2020-09-17,4884371.0
2020-09-18,4959081.0
2020-09-19,5033676.0
2020-09-20,5104131.0
2020-09-21,5160700.0
2020-09-22,5229529.0
2020-09-23,5302367.0
2020-09-24,5378367.0
2020-09-25,5447796.0
2020-09-26,5523786.0
2020-09-27,5600202.0
2020-09-28,5666323.0
2020-09-29,5734752.0
2020-09-30,5806558.0
2020-10-01,5878135.0
2020-10-02,5948534.0
2020-10-03,6021395.0
2020-10-04,6094206.0
2020-10-05,6150351.0
2020-10-06,6216240.0
2020-10-07,6283009.0
2020-10-08,6349953.0
2020-10-09,6420474.0
2020-10-10,6494099.0
2020-10-11,6569616.0
2020-10-12,6630728.0
2020-10-13,6702810.0
2020-10-14,6772273.0
2020-10-15,6846040.0
2020-10-16,6920377.0
2020-10-17,6991258.0
2020-10-18,7066203.0
2020-10-19,7127533.0
2020-10-20,7196628.0
2020-10-21,7271050.0
2020-10-22,7347776.0
2020-10-23,7428014.0
2020-10-24,7502933.0
2020-10-25,7570352.0
2020-10-26,7621896.0
2020-10-27,7696653.0
2020-10-28,7773681.0
2020-10-29,7862459.0
2020-10-30,7946860.0
2020-10-31,8028905.0
2020-11-01,8117685.0
2020-11-02,8182266.0
2020-11-03,8266800.0
2020-11-04,8342265.0
2020-11-05,8427629.0
2020-11-06,8507230.0
2020-11-07,8587312.0
2020-11-08,8663975.0
2020-11-09,8725025.0
2020-11-10,8792935.0
2020-11-11,8863340.0
2020-11-12,8940488.0
2020-11-13,9021225.0
2020-11-14,9101048.0
2020-11-15,9154263.0
2020-11-16,9197307.0
2020-11-17,9264085.0
2020-11-18,9333703.0
2020-11-19,9408868.0
2020-11-20,9474870.0
2020-11-21,9543177.0
2020-11-22,9615090.0
2020-11-23,9662220.0
2020-11-24,9727321.0
2020-11-25,9788047.0
2020-11-26,9855316.0
2020-11-27,9913068.0
2020-11-28,9962416.0
2020-11-29,10017126.0
2020-11-30,10057854.0
2020-12-01,10109708.0
2020-12-02,10166696.0
2020-12-03,10229745.0
2020-12-04,10293151.0
2020-12-05,10350283.0
2020-12-06,10410612.0
2020-12-07,10453618.0
2020-12-08,10509805.0
2020-12-09,10570843.0
2020-12-10,10635197.0
2020-12-11,10699622.0
2020-12-12,10767117.0
2020-12-13,10830990.0
2020-12-14,10875925.0
2020-12-15,10937377.0
2020-12-16,11001476.0
2020-12-17,11065297.0
2020-12-18,11134359.0
2020-12-19,11196574.0
2020-12-20,11260810.0
2020-12-21,11301105.0
2020-12-22,11357530.0
2020-12-23,11415249.0
2020-12-24,11474797.0
2020-12-25,11531206.0
2020-12-26,11574117.0
2020-12-27,11620503.0
2020-12-28,11657884.0
2020-12-29,11708678.0
2020-12-30,11764418.0
2020-12-31,11825566.0
2021-01-01,11884085.0
2021-01-02,11932603.0
2021-01-03,11972780.0
2021-01-04,12002494.0
2021-01-05,12053914.0
2021-01-06,12105121.0
2021-01-07,12164531.0
2021-01-08,12224202.0
2021-01-09,12274647.0
2021-01-10,12324674.0
2021-01-11,12355607.0
2021-01-12,12396593.0
2021-01-13,12441272.0
2021-01-14,12482943.0
2021-01-15,12514639.0
2021-01-16,12540181.0
2021-01-17,12576272.0
2021-01-18,12604214.0
2021-01-19,12643313.0
2021-01-20,12690165.0
2021-01-21,12739648.0
2021-01-22,12787961.0
2021-01-23,12831731.0
2021-01-24,12876113.0
2021-01-25,12903830.0
2021-01-26,12942153.0
2021-01-27,12975961.0
2021-01-28,13012150.0
2021-01-29,13054959.0
2021-01-30,13095962.0
2021-01-31,13137872.0
2021-02-01,13159794.0
2021-02-02,13189103.0
2021-02-03,13214548.0
2021-02-04,13242802.0
2021-02-05,13276678.0
2021-02-06,13311542.0
2021-02-07,13345522.0
2021-02-08,13367616.0
2021-02-09,13394460.0
2021-02-10,13422878.0
2021-02-11,13453405.0
2021-02-12,13484025.0
2021-02-13,13517440.0
2021-02-14,13546228.0
2021-02-15,13565062.0
2021-02-16,13589373.0
2021-02-17,13615847.0
2021-02-18,13644086.0
